brand_cluster,cluster_fein_count,cluster_total_positions,employer_fein,canonical_name,positions,filings,suggested_action,your_decision__keep_reject,your_merge_target_brand
morgan,3,1263,26-0116361,Morgan Stanley Services Group Inc.,808,352,MERGE?,MERGE,Morgan Stanley
morgan,3,1263,13-2655998,"Morgan Stanley & Co., LLC",356,90,MERGE?,MERGE,Morgan Stanley
morgan,3,1263,26-4310844,Morgan Stanley Smith Barney LLC,99,23,MERGE?,MERGE,Morgan Stanley
regeneron,2,837,46-4073600,"Regeneron Pharmaceuticals, Inc.",586,59,MERGE?,MERGE,Regeneron
regeneron,2,837,13-3444607,"Regeneron Pharmaceuticals, Inc.",251,232,MERGE?,MERGE,Regeneron
hcl,2,813,77-0205035,HCL AMERICA INC,697,697,MERGE?,MERGE,HCL
hcl,2,813,13-4309337,HCL GLOBAL SYSTEMS INC,116,116,MERGE?,MERGE,HCL
mastech,2,774,25-1873382,"Mastech Digital Technologies, Inc.",540,90,MERGE?,MERGE,Mastech Digital
mastech,2,774,47-2372385,"Mastech Digital Resourcing, Inc.",234,39,MERGE?,MERGE,Mastech Digital
federal,2,645,52-0904874,Federal Home Loan Mortgage Corporation,464,58,REJECT_generic_token,REJECT,
federal,2,645,71-0427007,Federal Express Corporation,181,181,REJECT_generic_token,REJECT,
capital,2,642,54-1780389,"Capital One Services, LLC",446,446,MERGE?,MERGE,Capital One
capital,2,642,72-0210640,"Capital One, National Association",196,196,MERGE?,MERGE,Capital One
visa,2,480,74-3070018,Visa Technology & Operations LLC,251,251,MERGE?,MERGE,Visa
visa,2,480,94-1721694,Visa U.S.A. Inc.,229,229,MERGE?,MERGE,Visa
general,2,466,27-0383222,General Motors,352,352,REJECT_generic_token,REJECT,
general,2,466,04-2697983,General Hospital Corporation,114,114,REJECT_generic_token,REJECT,
cvs,3,421,99-2848079,CVS Shared Services Resources LLC,215,215,MERGE?,MERGE,CVS Health
cvs,3,421,05-0340626,CVS Pharmacy Inc.,126,126,MERGE?,MERGE,CVS Health
cvs,3,421,05-0501917,CVS Rx Services Inc.,80,80,MERGE?,MERGE,CVS Health
american,2,407,13-3133497,"American Express Travel Related Services Company, Inc.",236,182,REJECT_generic_token,REJECT,
american,2,407,13-1502798,"American Airlines, Inc.",171,171,REJECT_generic_token,REJECT,
rivian,2,389,47-3556480,"Rivian Automotive, LLC",320,320,MERGE?,REJECT,
rivian,2,389,99-4796906,"Rivian and Volkswagen Group Technologies, LLC",69,69,MERGE?,REJECT,
trustees,2,337,23-1352685,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,261,261,REJECT_generic_token,REJECT,
trustees,2,337,04-2103547,TRUSTEES OF BOSTON UNIVERSITY,76,76,REJECT_generic_token,REJECT,
texas,3,335,74-6000531,Texas A&M University,145,145,REJECT_generic_token,REJECT,
texas,3,335,75-0289970,Texas Instruments Incorporated,110,110,REJECT_generic_token,REJECT,
texas,3,335,75-6002622,Texas Tech University,80,80,REJECT_generic_token,REJECT,
atlas,2,323,84-1207329,"Atlas Air, Inc.",186,12,MERGE?,REJECT,
atlas,2,323,59-3797948,"Atlassian US, Inc.",137,137,MERGE?,REJECT,
state,2,245,14-6013200,State University of New York at Stony Brook,126,125,REJECT_generic_token,REJECT,
state,2,245,04-1867445,State Street Bank and Trust Company,119,119,REJECT_generic_token,REJECT,
tiktok,2,234,88-4076938,TikTok USDS Joint Venture LLC,119,107,MERGE?,REJECT,
tiktok,2,234,47-3892853,TikTok Inc.,115,115,MERGE?,REJECT,
db,2,184,27-0509518,"DB Global Technology, Inc.",113,113,MERGE?,MERGE,Deutsche Bank
db,2,184,13-3184273,DB USA Core Corporation,71,71,MERGE?,MERGE,Deutsche Bank
